City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,dalbandin,28.89,64.41,98.69,18,0,2.71,PK,1594788954
1,qandala,11.47,49.87,90.91,46,100,8.46,SO,1594788954
2,nigel,-26.43,28.48,32.0,75,0,5.7,ZA,1594788954
3,vaini,-21.2,-175.2,73.4,78,75,10.29,TO,1594788894
4,nanortalik,60.14,-45.24,40.93,94,100,3.44,GL,1594788947
5,qaanaaq,77.48,-69.36,40.14,84,100,10.09,GL,1594788897
6,mar del plata,-38.0,-57.56,39.99,74,0,5.82,AR,1594788892
7,wanning,18.8,110.4,89.78,63,2,13.89,CN,1594788955
8,maniitsoq,65.42,-52.9,43.84,80,23,8.97,GL,1594788955
9,batesville,35.77,-91.64,82.4,78,1,6.93,US,1594788955
10,kamaishi,39.27,141.88,68.0,77,75,4.7,JP,1594788956
11,tezu,27.92,96.17,78.26,85,100,0.22,IN,1594788911
12,punta arenas,-53.15,-70.92,32.0,92,87,5.82,CL,1594788604
13,straumen,63.87,11.3,59.0,87,25,9.17,NO,1594788956
14,grand gaube,-20.01,57.66,75.99,73,31,8.99,MU,1594788669
15,butaritari,3.07,172.79,80.56,73,99,8.25,KI,1594788884
16,matara,5.95,80.54,83.77,77,90,11.95,LK,1594788893
17,yellowknife,62.46,-114.35,55.4,93,90,14.99,CA,1594788895
18,georgetown,5.41,100.34,87.8,70,20,5.82,MY,1594788645
19,rock sound,24.9,-76.2,83.64,76,94,8.14,BS,1594788957
20,ejea de los caballeros,42.13,-1.14,57.2,67,76,13.87,ES,1594788957
21,sanjwal,33.76,72.43,95.0,50,88,14.99,PK,1594788957
22,kiel,54.32,10.13,55.0,93,93,4.7,DE,1594788957
23,cap-aux-meules,47.38,-61.86,59.65,87,100,21.18,CA,1594788781
24,hilo,19.73,-155.09,78.8,69,90,5.82,US,1594788750
25,sao paulo de olivenca,-3.38,-68.87,71.4,95,10,1.92,BR,1594788958
26,jamestown,42.1,-79.24,61.0,87,1,3.22,US,1594788801
27,ilulissat,69.22,-51.1,39.2,86,15,2.21,GL,1594788958
28,saint-philippe,-21.36,55.77,73.4,64,21,6.93,RE,1594788624
29,lasa,46.62,10.7,55.0,100,75,5.82,IT,1594788959
30,mataura,-46.19,168.86,39.0,83,4,3.0,NZ,1594788890
31,peterhead,57.51,-1.8,48.99,93,75,1.12,GB,1594788959
32,saldanha,-33.01,17.94,39.2,86,0,2.24,ZA,1594788909
33,cherdyn,60.4,56.48,82.74,59,10,8.7,RU,1594788959
34,atuona,-9.8,-139.03,79.68,76,10,20.04,PF,1594788912
35,carnarvon,-24.87,113.63,75.2,50,0,9.17,AU,1594788915
36,kuah,6.33,99.84,87.8,79,20,3.36,MY,1594788960
37,srednekolymsk,67.45,153.68,53.56,43,22,13.27,RU,1594788942
38,south lake tahoe,38.93,-119.98,68.0,49,1,2.64,US,1594788903
39,rikitea,-23.12,-134.97,72.59,86,100,7.38,PF,1594788888
40,hobart,-42.88,147.33,52.0,66,75,1.12,AU,1594788606
41,thompson,55.74,-97.86,60.8,87,90,8.05,CA,1594788730
42,palekh,56.8,41.86,67.82,87,62,9.73,RU,1594788960
43,hermanus,-34.42,19.23,41.0,89,7,1.99,ZA,1594788844
44,bluff,-46.6,168.33,39.0,83,0,3.0,NZ,1594788891
45,henties bay,-22.12,14.28,63.57,34,0,9.6,NA,1594788900
46,kapaa,22.08,-159.32,80.6,78,40,12.75,US,1594788622
47,aklavik,68.22,-135.01,52.39,66,100,12.15,CA,1594788915
48,udachnyy,66.42,112.4,75.2,38,20,4.47,RU,1594788961
49,castro,-24.79,-50.01,53.15,90,24,7.65,BR,1594788675
50,airai,-8.93,125.41,69.64,68,16,4.94,TL,1594788928
51,guane,22.2,-84.09,78.17,85,80,6.02,CU,1594788926
52,jalu,29.03,21.55,75.97,57,0,10.16,LY,1594788924
53,aksu,41.12,80.26,84.69,24,100,2.84,CN,1594788962
54,dikson,73.51,80.55,39.54,93,76,14.32,RU,1594788920
55,salaverry,-8.23,-78.97,61.36,89,90,6.35,PE,1594788962
56,avarua,-21.21,-159.78,69.8,64,46,4.7,CK,1594788899
57,tuktoyaktuk,69.45,-133.04,53.6,76,90,11.41,CA,1594788908
58,cabo san lucas,22.89,-109.91,90.0,50,3,5.99,MX,1594788844
59,taoudenni,22.68,-3.98,91.02,25,0,7.67,ML,1594788664
60,deputatskiy,69.3,139.9,58.75,45,68,9.95,RU,1594788936
61,katsuura,35.13,140.3,73.0,89,100,10.07,JP,1594788908
62,albany,42.6,-73.97,68.0,78,62,2.55,US,1594788893
63,victor harbor,-35.57,138.62,60.01,59,40,1.01,AU,1594788963
64,ahuimanu,21.44,-157.84,84.2,62,40,11.41,US,1594788683
65,busselton,-33.65,115.33,63.0,57,85,16.55,AU,1594788823
66,hobyo,5.35,48.53,81.82,65,99,22.68,SO,1594788933
67,hervey bay,-25.3,152.85,69.01,41,0,8.99,AU,1594788964
68,gusau,12.16,6.66,74.16,82,100,9.62,NG,1594788964
69,bredasdorp,-34.53,20.04,42.8,81,4,3.36,ZA,1594788617
70,sangar,63.92,127.47,81.28,37,74,2.48,RU,1594788888
71,thunder bay,48.4,-89.32,57.99,93,5,6.93,CA,1594788956
72,mahebourg,-20.41,57.7,73.4,83,40,14.99,MU,1594788891
73,east london,-33.02,27.91,51.8,57,50,8.05,ZA,1594788622
74,barrow,71.29,-156.79,37.4,86,90,13.87,US,1594788615
75,porosozero,62.72,32.73,57.27,68,18,4.5,RU,1594788965
76,victoria,22.29,114.16,93.99,56,43,11.99,HK,1594788825
77,esperance,-33.87,121.9,59.0,67,0,12.75,AU,1594788621
78,kaitangata,-46.28,169.85,45.0,79,26,5.99,NZ,1594788891
79,flinders,-34.58,150.86,59.0,72,99,7.0,AU,1594788889
80,khartoum,15.55,32.53,88.0,43,22,6.93,SD,1594788966
81,torbay,47.67,-52.73,51.01,100,90,14.99,CA,1594788662
82,muroto,33.28,134.15,78.8,74,75,8.05,JP,1594788966
83,leningradskiy,69.38,178.42,43.2,81,93,15.93,RU,1594788926
84,ushuaia,-54.8,-68.3,30.2,92,90,4.7,AR,1594788884
85,clyde river,70.47,-68.59,51.8,76,90,4.7,CA,1594788902
86,bambous virieux,-20.34,57.76,75.99,83,40,14.99,MU,1594788617
87,xingyi,24.19,102.82,75.65,63,98,8.88,CN,1594788967
88,luderitz,-26.65,15.16,55.4,47,0,6.93,NA,1594788913
89,houma,29.6,-90.72,82.0,88,1,4.74,US,1594788907
90,nouakchott,18.09,-15.98,71.6,88,40,14.99,MR,1594788873
91,colan,7.59,-80.23,74.61,92,81,3.6,PA,1594788967
92,tautira,-17.73,-149.15,78.8,83,75,4.7,PF,1594788932
93,mariental,-24.63,17.97,32.04,93,0,10.83,NA,1594788967
94,cape town,-33.93,18.42,44.6,81,1,8.05,ZA,1594788889
95,haines junction,60.75,-137.51,49.69,83,100,0.29,CA,1594788638
96,rorvik,64.86,11.24,57.2,76,74,4.7,NO,1594788682
97,chipinge,-20.19,32.62,44.94,69,2,4.41,ZW,1594788968
98,urusha,54.05,122.9,89.17,33,48,6.04,RU,1594788968
99,luang prabang,19.89,102.13,87.8,66,40,2.91,LA,1594788955
100,sao filipe,14.9,-24.5,76.23,86,35,10.69,CV,1594788946
101,cidreira,-30.18,-50.21,43.23,74,0,9.24,BR,1594788900
102,mount gambier,-37.83,140.77,55.4,71,59,5.82,AU,1594788946
103,kaeo,-35.1,173.78,59.0,3,100,11.99,NZ,1594788604
104,komsomolskiy,40.43,71.72,86.0,30,0,4.7,UZ,1594788902
105,langsa,4.47,97.97,88.56,62,99,3.85,ID,1594788969
106,new norfolk,-42.78,147.06,51.01,84,100,2.13,AU,1594788629
107,garowe,8.41,48.48,80.89,55,100,26.84,SO,1594788969
108,tutoia,-2.76,-42.27,77.2,83,0,9.4,BR,1594788969
